Run,USFE (meV/A^2)
1,843.109195
2,866.201287
3,915.492364
4,931.590282
5,936.008349
6,936.183107
7,936.042454
8,935.290887
9,930.632420
10,910.651005
11,866.252770
12,831.289590
13,842.201913
14,847.680407
15,856.932843
16,860.521928
17,791.627047
18,826.718725
19,828.142435
20,844.041487
Mean,876.830525
