Run,USFE (meV/A^2)
1,820.274870
2,846.204874
3,875.279137
4,843.894826
5,851.214745
6,834.115140
7,840.215235
8,827.796181
9,803.985103
10,840.595076
11,791.199937
12,813.764808
13,850.857656
14,828.092666
15,818.957332
16,819.299533
17,834.884255
18,809.397843
19,808.398286
20,839.907413
Mean,829.916746
