Run,USFE (meV/A^2)
1,861.580294
2,862.888965
3,863.624650
4,855.845490
5,856.265816
6,863.734451
7,863.125768
8,863.533993
9,863.131581
10,863.708359
11,856.197796
12,856.210062
13,863.724411
14,863.149099
15,863.542351
16,863.197423
17,863.416044
18,856.446995
19,847.711545
20,856.776078
Mean,860.390559
