Run,USFE (meV/A^2)
1,805.831899
2,806.411487
3,824.984237
4,833.933615
5,822.254516
6,824.796597
7,827.709922
8,834.409600
9,841.819850
10,841.267712
11,841.409783
12,831.206407
13,826.815507
14,833.868537
15,837.454733
16,834.573177
17,849.999807
18,842.255535
19,841.897321
20,848.549755
Mean,832.572500
