Run,USFE (meV/A^2)
1,1496.863540
2,815.649687
3,783.051271
4,817.891364
5,803.181747
6,823.370983
7,858.020558
8,874.658258
9,851.360813
10,866.890795
11,907.908659
12,890.399336
13,869.490738
14,795.486191
15,799.064680
16,831.334553
17,844.676278
18,1552.977129
19,2179.241625
20,2382.947835
Mean,1052.223302
