Run,USFE (meV/A^2)
1,822.647533
2,810.680043
3,825.980322
4,827.448896
5,796.897717
6,827.510655
7,811.023461
8,850.352942
9,849.175055
10,854.680636
11,845.277498
12,812.427733
13,812.427733
14,790.230579
15,813.151677
16,866.521883
17,1870.542360
18,881.776600
19,876.477162
20,870.831837
Mean,885.803116
