Run,USFE (meV/A^2)
1,903.525240
2,903.392249
3,902.036604
4,891.932774
5,868.078999
6,812.219873
7,827.275479
8,788.107897
9,811.350245
10,836.013497
11,839.380322
12,849.517372
13,872.290910
14,870.083595
15,841.517623
16,841.517623
17,861.693877
18,872.218844
19,830.369552
20,849.699662
Mean,853.611112
