Run,USFE (meV/A^2)
1,823.117634
2,857.029221
3,828.758848
4,835.956548
5,858.431806
6,865.602238
7,847.653957
8,840.265971
9,810.485873
10,788.772043
11,796.857509
12,839.948040
13,847.473716
14,839.955558
15,867.802631
16,817.964421
17,841.718809
18,847.880220
19,810.814174
20,816.909359
Mean,834.169929
