Run,USFE (meV/A^2)
1,836.274188
2,849.982967
3,847.462586
4,856.543156
5,842.399630
6,841.636752
7,849.870496
8,839.062668
9,840.537632
10,828.014823
11,834.999526
12,829.234282
13,821.143629
14,843.870341
15,843.014964
16,847.684324
17,849.576109
18,811.744195
19,803.690854
20,799.217815
Mean,835.798047
