Run,USFE (meV/A^2)
1,812.062349
2,802.594970
3,814.856657
4,850.547364
5,855.638918
6,858.656699
7,836.762102
8,836.783731
9,859.477674
10,844.427357
11,845.543204
12,858.680807
13,858.270584
14,851.261740
15,851.274847
16,858.660082
17,858.080026
18,858.432278
19,858.394108
20,858.384841
Mean,846.439517
