Run,USFE (meV/A^2)
1,915.880922
2,926.569920
3,934.154626
4,926.776144
5,913.767573
6,910.618479
7,884.650985
8,842.632490
9,794.572870
10,812.135422
11,829.576169
12,830.720908
13,808.751984
14,808.621806
15,814.361897
16,891.900846
17,920.384197
18,916.328892
19,894.868239
20,878.192989
Mean,872.773368
