Run,USFE (meV/A^2)
1,878.352131
2,878.004304
3,877.991813
4,870.905796
5,865.850702
6,857.090343
7,864.079669
8,878.048673
9,877.625697
10,878.305589
11,877.653298
12,876.568054
13,867.068874
14,861.078759
15,837.746724
16,790.974319
17,804.874914
18,2065.408665
19,827.407517
20,823.62128
Mean,917.9328561
